Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APOL2	SNRPB2	9606.ENSP00000249066	9606.ENSP00000246071	0	0	0	0	0	0	0	0.598	0.598
APOL2	RHPN2	9606.ENSP00000249066	9606.ENSP00000254260	0	0	0	0	0	0	0	0.467	0.467
APOL2	UBL4A	9606.ENSP00000249066	9606.ENSP00000358674	0	0	0	0	0	0.467	0	0	0.467
APOL2	NXPE3	9606.ENSP00000249066	9606.ENSP00000396421	0	0	0	0	0	0	0	0.493	0.493
APOL2	CD58	9606.ENSP00000249066	9606.ENSP00000358501	0	0	0	0	0	0	0	0.494	0.494
APOL2	SAA2-SAA4	9606.ENSP00000249066	9606.ENSP00000485552	0	0	0	0	0	0	0	0.546	0.546
APOL2	SAA4	9606.ENSP00000249066	9606.ENSP00000278222	0	0	0	0	0	0	0	0.584	0.584
APOL2	CGB5	9606.ENSP00000249066	9606.ENSP00000301408	0	0	0	0	0	0	0	0.595	0.595
APOL2	APOO	9606.ENSP00000249066	9606.ENSP00000368528	0	0	0	0	0	0	0	0.611	0.611
APOL2	COMT	9606.ENSP00000249066	9606.ENSP00000354511	0	0	0	0	0	0	0	0.645	0.645
APOO	APOL2	9606.ENSP00000368528	9606.ENSP00000249066	0	0	0	0	0	0	0	0.611	0.611
APOO	SAA4	9606.ENSP00000368528	9606.ENSP00000278222	0	0	0	0	0	0	0.540	0.049	0.543
CD58	APOL2	9606.ENSP00000358501	9606.ENSP00000249066	0	0	0	0	0	0	0	0.494	0.494
CGB5	SNRPB2	9606.ENSP00000301408	9606.ENSP00000246071	0	0	0	0	0	0	0	0.654	0.654
CGB5	APOL2	9606.ENSP00000301408	9606.ENSP00000249066	0	0	0	0	0	0	0	0.595	0.595
COMT	APOL2	9606.ENSP00000354511	9606.ENSP00000249066	0	0	0	0	0	0	0	0.645	0.645
NXPE3	APOL2	9606.ENSP00000396421	9606.ENSP00000249066	0	0	0	0	0	0	0	0.493	0.493
RHPN2	APOL2	9606.ENSP00000254260	9606.ENSP00000249066	0	0	0	0	0	0	0	0.467	0.467
SAA2-SAA4	APOL2	9606.ENSP00000485552	9606.ENSP00000249066	0	0	0	0	0	0	0	0.546	0.546
SAA4	APOL2	9606.ENSP00000278222	9606.ENSP00000249066	0	0	0	0	0	0	0	0.584	0.584
SAA4	APOO	9606.ENSP00000278222	9606.ENSP00000368528	0	0	0	0	0	0	0.540	0.049	0.543
SNRPB2	APOL2	9606.ENSP00000246071	9606.ENSP00000249066	0	0	0	0	0	0	0	0.598	0.598
SNRPB2	CGB5	9606.ENSP00000246071	9606.ENSP00000301408	0	0	0	0	0	0	0	0.654	0.654
UBL4A	APOL2	9606.ENSP00000358674	9606.ENSP00000249066	0	0	0	0	0	0.467	0	0	0.467
